Name,Ticker,GICS Level 1 Sector,GICS Level 2 Sector,Port. Weight,SedolChk,ISIN,NTM_PE,Est 3-5 Yr EPS Growth,ROE,Operating Margin,P/E using FY1 Est ( Incl. Negative Values ),Dividend Yield,Price to Book,Market Capitalization,Quarter Report Date Standard Deviation - Historical,Quarter Report Date - Historical,Quarter Mean Estimate - Historical,Latest Quarter Mean Estimate,Latest Quarter Actual EPS,PEG using FY1 Est,sed,RIC Code,Company Common Name,GICS Sector Name,GICS Industry Group Name,GICS Sub-Industry Name,Company Market Cap,Price Close,1-day Price PCT Change,2-day Price PCT Change,1 Week Total Return,1 Month Total Return,3 Month Total Return,6 Month Total Return,52 Week Total Return,YTD Total Return,"AVG(TR.Volume(SDate=0D,EDate=0D-29D))",Return On Equity - Mean,P/E (Daily Time Series Ratio),"TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.BVPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=CY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=CY2022,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2019,SDate=0D,Curn=USD)-1",Volatility - 100 days,Dividend yield,Short Interest %,"Relative Valuation P/E, NTM",Earnings Per Share - Mean,Business Description
"Church & Dwight Co., Inc.",CHD,Consumer Staples,Household & Personal Products,0.05,2195841,US1713401024,28.00,6.3,20.57,18.02,30.4,1.08,6.11,"25,625",0.02,11/01/2024,0.68,0.68,0.79,4.79,2195841,CHD.N,Church & Dwight Co Inc,Consumer Staples,Household & Personal Products,Household Products,25955038857.90,104.62,-1.25,-1.99,-0.77,-5.00,0.16,1.46,11.86,11.86,506144.53,20.68,46.99,28.05,35.46,5.48,0.01,0.00,0.19,17.05,1.08,2.30,28.19,3.73,"Church & Dwight Co., Inc. develops, manufactures, and markets a range of consumer household and personal care products and specialty products focused on animal and food production, chemicals, and cleaners. The Company’s segments include Consumer Domestic, Consumer International and the Specialty Products Division (SPD). Its Consumer Domestic segment includes each of its seven power brands, as well as other brands and household and personal care products. Its Consumer International segment markets a variety of personal care, household, and over-the-counter products in international subsidiary markets, including Australia, Canada, France, Germany, Mexico, and the United Kingdom. Its SPD segment focuses on sales to businesses and participates in three product areas: animal and food production, specialty chemicals and specialty cleaners. The Company’s brands include ARM & HAMMER, OXICLEAN, VITAFUSION and L’IL CRITTERS, BATISTE, WATERPIK, THERABREATH, and HERO."
Dover Corporation,DOV,Industrials,Capital Goods,0.05,2278407,US2600031080,19.85,8.7,22.50,16.95,22.8,1.10,4.49,"25,562",0.02,10/24/2024,2.18,2.18,2.27,2.61,2278407,DOV.N,Dover Corp,Industrials,Capital Goods,Industrial Machinery & Supplies & Components,25837362956.78,186.32,-1.07,-2.40,-1.32,-9.51,-2.58,3.80,22.49,22.49,226618.47,22.14,17.05,19.91,22.08,4.03,-0.03,0.00,0.44,20.75,1.11,0.97,19.91,9.36,"Dover Corporation is a diversified global manufacturer and solutions provider. Its Engineered Products segment provides a range of equipment, components, software, solutions and services to the vehicle aftermarket, aerospace and defense, and others. Its Clean Energy & Fueling segment provides components, equipment, and software solutions and services. It also designs, manufactures, and supplies vacuum-insulated piping systems for a variety of liquefied gases like nitrogen, oxygen, carbon dioxide, and other industrial gases. Its Imaging & Identification segment supplies precision marking and coding, product traceability, brand protection and digital textile printing equipment. Its Pumps & Process Solutions segment manufactures specialty pumps and flow meters, fluid transfer connectors, highly engineered precision components, instruments and digital controls. Its Climate & Sustainability Technologies segment is a provider of energy-efficient equipment, components and parts."
Synchrony Financial,SYF,Financials,Financial Services,0.05,BP96PS6,US87165B1035,9.54,18.5,17.35,21.13,9.9,1.54,1.72,"25,319",0.16,10/16/2024,1.81,1.81,1.94,0.53,BP96PS6,SYF.N,Synchrony Financial,Financials,Financial Services,Consumer Finance,25665581727.36,65.05,-1.32,-2.63,-0.63,-3.66,31.01,39.26,74.14,74.14,1270506.60,20.12,8.49,9.47,10.89,1.44,0.10,0.00,0.40,39.16,1.54,3.01,9.00,6.87,"Synchrony Financial is a consumer financial services company focused on delivering digitally enabled product suites. The Company provides a range of credit products through financing programs it has established with a diverse group of national and regional retailers, local merchants, manufacturers, buying groups, industry associations and healthcare service providers. The Company primarily offers private label, dual card, co-brand, and general-purpose credit cards, as well as short- and long-term installment loans, and savings products through Synchrony Bank (the Bank). It primarily manages its credit products through five sales platforms (Home & Auto, Digital, Diversified & Value, Health & Wellness and Lifestyle). The Bank offers directly to retail, affinity relationships and commercial customers, a range of deposit products, including certificates of deposit, individual retirement accounts (IRAs), money market accounts, savings accounts and sweep and affinity deposits."
T. Rowe Price Group,TROW,Financials,Financial Services,0.05,2702337,US74144T1088,12.12,8.0,19.02,33.39,12.2,4.34,2.47,"25,293",0.07,11/01/2024,2.34,2.34,2.57,1.52,2702337,TROW.OQ,T Rowe Price Group Inc,Financials,Financial Services,Asset Management & Custody Banks,25697185894.90,113.86,-1.56,-3.16,-1.90,-7.11,5.61,0.95,10.44,10.44,589736.50,21.23,12.47,12.11,14.27,2.42,0.03,0.00,0.00,22.20,4.36,5.38,12.04,9.40,"T. Rowe Price Group, Inc. is a global asset management company. The Company provides a broad range of investment solutions across equity, fixed income, multi-asset, and alternative capabilities for clients around the world - from individuals to advisors to institutions to retirement plan sponsors. It also provides certain investment advisory clients with related administrative services, including distribution, mutual fund transfer agent, accounting and shareholder services; participant recordkeeping and transfer agent services for defined contribution retirement plans; brokerage; trust services, and non-discretionary advisory services through model delivery. The Company distributes its active investment solutions through a diverse set of distribution channels and vehicles to meet the needs of its clients globally. These vehicles include an array of United States mutual funds, collective investment trusts, subadvised funds, separately managed accounts, and other sponsored products."
Veralto Corporation,VLTO,Industrials,Commercial & Professional Services,0.05,BPGMZQ5,US92338C1036,27.22,2.5,36.34,22.94,29.4,0.35,12.91,"25,217",0.02,10/24/2024,0.86,0.86,0.89,11.77,BPGMZQ5,VLTO.N,Veralto Corp,Industrials,Commercial  & Professional Services,Environmental & Facilities Services,25502377758.00,102.01,-1.08,-1.79,-0.86,-5.71,-8.81,6.94,24.35,24.35,500075.23,47.00,31.48,27.17,NaN,8.75,0.02,NULL,NULL,17.05,0.43,1.33,27.07,3.75,"Veralto Corporation provides essential technology solutions that monitor, enhance, and protect key resources around the globe. The Company operates through two segments: Water Quality (WQ) and Product Quality & Innovation (PQI). The WQ segment provides a comprehensive portfolio of water analytics and differentiated water treatment solutions that enable the reliable delivery of safe drinking water by public and private utilities from source water to the consumer and back into the water cycle. It provides proprietary precision instrumentation and advanced water treatment technologies under Hach, Trojan Technologies, ChemTreat, and other global WQ brands. Its PQI segment provides a broad set of solutions for brand owners and consumer packaged goods companies that enable speed to market as well as traceability and quality control of their products. The brands in this segment include Videojet, Linx, Esko, X-Rite, Pantone and others. TraceGains is complementary to its PQI segment."
"NVR, Inc.",NVR,Consumer Discretionary,Consumer Durables & Apparel,0.05,2637785,US62944T1051,15.43,9.4,40.44,16.86,16.4,--,5.66,"24,187",4.69,10/22/2024,131.00,131.00,130.50,1.74,2637785,NVR.N,NVR Inc,Consumer Discretionary,Consumer Durables & Apparel,Homebuilding,25149489119.64,8176.46,-0.39,-0.82,-0.56,-11.47,-16.67,7.75,16.80,16.80,10040.97,38.24,16.72,15.78,17.89,6.04,-0.01,0.00,1.09,21.30,NULL,1.98,15.75,518.05,"NVR, Inc. is engaged in the construction and sale of single-family detached homes, townhomes, and condominium buildings. The Company operates through two segments: homebuilding and mortgage banking. The homebuilding operations primarily construct and sell single-family detached homes, townhomes and condominium buildings under three trade names: Ryan Homes, NVHomes and Heartland Homes, and operates in 36 metropolitan areas in 15 states and Washington, District of Columbia (D.C.). Its mortgage banking operations primarily operate in the homebuilding operations market. Its mortgage banking business consists of origination fees, gains on sales of loans, and title fees. The homebuilding segments are comprised of operating divisions, such as Mid Atlantic, North East, Mid East and South East. Its Mid Atlantic divisions operates in Maryland, Virginia, West Virginia, Delaware and Washington, District of Columbia (D.C.). Its North East division operates in New Jersey and Eastern Pennsylvania."
DTE Energy Company,DTE,Utilities,Utilities,0.05,2280220,US2333311072,16.74,8.7,13.00,15.03,17.9,3.38,2.15,"24,966",0.09,10/24/2024,1.88,1.88,2.22,2.05,2280220,DTE.N,DTE Energy Co,Utilities,Utilities,Multi-Utilities,25131656111.10,120.55,-0.66,-0.45,0.25,-3.30,-5.28,10.45,13.28,13.28,531276.43,11.89,16.32,16.73,20.05,2.05,0.01,0.00,-0.04,15.28,3.62,1.40,16.72,7.20,"DTE Energy Company is a diversified energy company, which is involved in the development and management of energy-related businesses and services nationwide. The Company’s segments include Electric, Gas, DTE Vantage, Energy Trading, and Corporate and Other. Electric segment consists principally of DTE Electric, which is engaged in the generation, purchase, distribution, and sale of electricity to residential, commercial, and industrial customers in southeastern Michigan. Gas segment consists principally of DTE Gas, which is engaged in the purchase, storage, transportation, distribution, and sale of natural gas to residential, commercial, and industrial customers throughout Michigan. DTE Vantage segment is comprised primarily of renewable energy projects that sell electricity and pipeline-quality gas and projects that deliver custom energy solutions to industrial, commercial, and institutional customers. Energy Trading segment consists of energy marketing and trading operations."
Hershey Company,HSY,Consumer Staples,Food Beverage & Tobacco,0.05,2422806,US4278661081,20.80,-3.2,50.33,23.41,18.6,3.25,8.12,"34,130",0.12,11/07/2024,2.56,2.56,2.34,--,2422806,HSY.N,Hershey Co,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,34756452203.52,168.67,-1.80,-0.89,-0.20,-4.24,-11.34,-6.85,-6.89,-6.89,666246.90,42.56,24.62,20.94,20.40,7.13,-0.14,0.00,0.44,28.14,3.25,3.68,21.00,8.05,"The Hershey Company is a snacks company. It operates through three segments: North America Confectionery, North America Salty Snacks and International. Its North America Confectionery segment has traditional chocolate and non-chocolate confectionery market position in the United States and Canada. North America Salty Snacks segment is responsible for its salty snacking products in the United States. Its principal product offerings include chocolate and non-chocolate confectionery products; gum and mint refreshment products and protein bars; pantry items, such as baking ingredients, toppings and beverages, and snack items such as spreads, bars, and snack bites and mixes, popcorn and pretzels. It markets, sells and distributes its products under more than 90 brand names in over 80 countries worldwide, including Hershey’s, Reese’s, Kisses, Kit Kat, Jolly Rancher, Twizzlers and Ice Breakers, and salty snacks including SkinnyPop, Sour Strips, Pirate's Booty and Dot's Homestyle Pretzels."
"Tyler Technologies, Inc.",TYL,Information Technology,Software & Services,0.05,2909644,US9022521051,53.68,15.0,5.97,11.20,60.6,--,7.56,"24,775",0.05,10/24/2024,2.46,2.46,2.52,4.04,2909644,TYL.N,Tyler Technologies Inc,Information Technology,Software & Services,Application Software,25127049253.50,579.04,-1.37,-2.33,-2.58,-7.97,-0.80,15.17,38.49,38.49,95019.60,9.93,105.92,53.71,76.22,6.80,0.04,0.00,0.43,18.81,NULL,2.09,53.57,10.78,"Tyler Technologies, Inc. is a provider of integrated software and technology management solutions for the public sector. The Company's segments include Enterprise Software (ES) and Platform Technologies (PT). Its ES segment provides public sector entities with software systems and services to meet their information technology and automation needs for mission-critical back-office functions, such as public administration solutions; courts and public safety solutions; education solutions, and property and recording solutions. The PT segment provides public sector entities with software solutions to platform and transformative solutions including digital solutions, payment processing, streamline data processing, and improve operations and workflows. Its solutions deliver mission-critical technology to support the essential functions of government, including public safety, justice, public health, taxation and budgeting, infrastructure and land use, K-12 education, and social services."
"Ventas, Inc.",VTR,Real Estate,Equity Real Estate Investment Trusts (REITs),0.05,2927925,US92276F1003,162.11,5.3,-0.42,14.79,615.9,3.08,2.58,"24,531",0.05,10/31/2024,-0.02,-0.02,0.05,115.66,2927925,VTR.N,Ventas Inc,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,24704982060.72,58.51,-0.65,-1.47,-0.71,-8.68,-8.12,15.96,20.50,20.50,1068144.37,0.28,NULL,163.44,-14627.50,2.65,4.09,0.00,-1.00,18.03,3.08,5.13,164.25,0.36,"Ventas, Inc. is a real estate investment trust (REIT). The Company’s portfolio includes senior housing communities, which provide valuable services to residents. The Company leverages its operational expertise and data-driven insights from its Ventas Operational Insights platform. The Company has approximately 1,351 properties in North America and the United Kingdom. Its portfolio also includes outpatient medical buildings, research centers and healthcare facilities. The Company, through its Senior Housing Operating Portfolio segment, invests in senior housing communities. Through its Outpatient Medical and Research Portfolio segment, it primarily acquires, owns, develops, leases, and manages outpatient medical buildings and research centers. Through its Triple-Net Leased Properties segment, it invests in and owns senior housing communities, skilled nursing facilities, long-term acute care facilities, freestanding inpatient rehabilitation facilities and other healthcare facilities."
Equity Residential,EQR,Real Estate,Equity Real Estate Investment Trusts (REITs),0.05,2319157,US29476L1070,45.31,3.9,7.50,30.96,35.4,3.78,2.49,"26,995",0.05,10/31/2024,0.41,0.41,0.38,8.96,2319157,EQR.N,Equity Residential,Real Estate,Equity Real Estate Investment Trusts (REITs),Multi-Family Residential REITs,27154212146.04,71.16,-0.59,-1.67,-0.39,-7.17,-4.43,4.57,19.84,19.84,589597.83,6.54,29.20,43.76,37.13,2.61,-0.08,0.00,-0.10,19.39,3.79,1.63,43.31,1.63,"Equity Residential is a real estate investment trust. The Company is focused on the acquisition, development and management of residential properties located in and around cities. The Company’s primary business is the acquisition, development, and management of multifamily residential properties, which includes the generation of rental and other related income through the leasing of apartment units to residents. The Company owns and operates rental apartment properties, with a presence in Boston, New York, Washington, D.C., Southern California, including Los Angeles, Orange County and San Diego), San Francisco and Seattle, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin. The Company owns 313 properties located in 10 states and the District of Columbia consisting of 84,018 apartment units. ERP Operating Limited Partnership (ERPOP) conducts the multifamily residential property business of Equity Residential."
"American Water Works Company, Inc.",AWK,Utilities,Utilities,0.05,B2R3PV1,US0304201033,21.77,8.1,10.79,35.50,23.5,2.42,2.34,"24,214",0.05,10/31/2024,1.84,1.84,1.80,2.90,B2R3PV1,AWK.N,American Water Works Company Inc,Utilities,Utilities,Water Utilities,24418255352.81,124.24,-0.84,-1.52,-1.38,-9.27,-14.55,-2.73,-3.72,-3.72,464519.10,10.08,24.67,21.76,27.83,2.20,0.02,0.00,0.23,17.74,2.46,2.38,21.76,5.71,"American Water Works Company, Inc. is a water and wastewater utility company. The Company's primary business involves the ownership of utilities that provide water and wastewater services to residential, commercial, industrial, public authority, fire service and sale for resale customers. It also operates other market-based businesses that provide water and wastewater services to the United States government on military installations, as well as municipalities. The Company operates its business primarily through one segment: the Regulated Businesses segment. The Regulated Businesses segment includes subsidiaries that provide water and wastewater services to customers in approximately 14 states. The Company's utility operates in the states, such as Georgia, Hawaii, Indiana, Iowa, Kentucky, Maryland, Tennessee, Virginia and West Virginia. The Company's utilities operate in approximately 1,700 communities. The Company also operates Wood Heights water and wastewater systems in Ray County."
"Brown & Brown, Inc.",BRO,Financials,Insurance,0.05,2692687,US1152361010,24.89,11.3,16.83,29.81,27.1,0.53,4.51,"29,169",0.02,10/29/2024,0.88,0.88,0.91,2.39,2692687,BRO.N,Brown & Brown Inc,Financials,Insurance,Insurance Brokers,29422258747.10,101.99,-0.87,-1.69,-0.79,-9.82,-1.42,14.37,44.27,44.27,455531.13,17.78,27.78,24.89,45.43,3.79,0.03,0.00,0.62,18.09,0.59,1.44,24.86,4.10,"Brown & Brown, Inc. is an insurance brokerage company engaged in delivering risk management solutions to individuals and businesses. The Company markets and sells insurance products and services, primarily in the property, casualty, and employee benefits areas. Its segments include Retail, National Programs, Wholesale Brokerage and Services. The Retail segment provides a broad range of insurance products and services to commercial, public and quasi-public, professional and individual insured customers, and non-insurance services and products through its automobile dealer services F&I businesses. The National Programs segment, which acts as a managing general agent, provides professional liability and related package products for certain professionals. The Wholesale Brokerage segment markets and sells excess and surplus commercial and personal lines insurance. The Services segment provides insurance-related services, including third-party claims administration and adjusting services."
Archer-Daniels-Midland Company,ADM,Consumer Staples,Food Beverage & Tobacco,0.05,2047317,US0394831020,10.39,-4.7,14.39,3.07,10.3,3.99,1.09,"23,933",0.08,11/19/2024,1.24,1.24,1.09,--,2047317,ADM.N,Archer-Daniels-Midland Co,Consumer Staples,"Food, Beverage & Tobacco",Agricultural Products & Services,24204225441.60,50.07,-1.01,-1.07,-0.67,-8.30,-15.40,-15.69,-28.17,-28.17,1106654.13,9.21,14.28,10.81,6.64,1.06,-0.14,0.00,1.95,22.21,3.99,2.08,10.88,4.63,"Archer-Daniels-Midland Company is a human and animal nutrition company. The Company is an agricultural supply chain manager and processor. It operates through three business segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. The Ag Services and Oilseeds segment includes global activities related to the origination, merchandising, transportation, and storage of agricultural raw materials, and the crushing and further processing of oilseeds such as soybeans and soft seeds into vegetable oils and protein meals. The Carbohydrate Solutions segment is engaged in corn and wheat wet and dry milling and other activities. The Nutrition segment is engaged in the manufacturing, sale, and distribution of a range of ingredients and solutions, including plant-based proteins, natural flavors, flavor systems, natural colors, emulsifiers, soluble fiber, polyols, hydrocolloids, probiotics, prebiotics, enzymes, botanical extracts, and other specialty food and feed ingredients."
Ameren Corporation,AEE,Utilities,Utilities,0.05,2050832,US0236081024,18.17,6.8,10.54,20.77,19.4,2.95,2.02,"23,920",0.04,11/07/2024,1.90,1.90,1.87,2.85,2050832,AEE.N,Ameren Corp,Utilities,Utilities,Multi-Utilities,24055530362.04,89.62,-0.55,-1.18,-0.08,-4.35,3.23,27.99,28.19,28.19,477845.40,10.32,21.07,18.16,22.06,1.83,0.02,0.00,0.24,16.25,2.99,1.33,18.14,4.94,"Ameren Corporation is a public utility holding company. The Company operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. The Ameren Missouri segment includes all of the operations of Ameren Missouri. Ameren Missouri operates a rate-regulated electric generation, transmission, and distribution business and a rate-regulated natural gas distribution business in Missouri. The Ameren Illinois Electric Distribution segment consists of the electric distribution business of Ameren Illinois. The Ameren Illinois Natural Gas segment consists of the natural gas business of Ameren Illinois. The Ameren Transmission segment primarily consists of the aggregated electric transmission businesses of Ameren Illinois and Ameren Transmission Company of Illinois (ATXI). The Company owns an integrated transmission system that is composed of the transmission assets of Ameren Missouri, Ameren Illinois and ATXI."
PPL Corporation,PPL,Utilities,Utilities,0.05,2680905,US69351T1060,17.76,7.0,5.31,19.84,19.0,3.13,1.70,"23,897",0.02,11/01/2024,0.42,0.42,0.42,2.71,2680905,PPL.N,PPL Corp,Utilities,Utilities,Electric Utilities,23998784562.60,32.39,-0.40,-0.71,-0.06,-6.55,-1.32,19.00,23.70,23.70,1411803.83,8.89,29.13,17.72,23.08,1.61,0.01,0.00,-0.42,15.28,3.18,1.99,17.80,1.83,"PPL Corporation is an energy company. The Company is focused on providing electricity and natural gas in the United States. The Company operates through three segments: Kentucky Regulated, Pennsylvania Regulated, and Rhode Island Regulated. The Kentucky Regulated segment consists primarily of the regulated electricity generation, transmission and distribution operations conducted by Louisville Gas & Electric Company (LG&E) and Kentucky Utilities Company (KU), as well as LG&E's regulated distribution and sale of natural gas. LG&E and KU are engaged in the regulated generation, transmission, distribution and sale of electricity in Kentucky and, in KU's case, also Virginia. The Pennsylvania Regulated segment includes the regulated electricity transmission and distribution operations of PPL Electric. The Rhode Island Regulated segment includes the regulated electricity transmission and distribution and natural gas distribution operations of Rhode Island Energy (RIE)."
"NetApp, Inc.",NTAP,Information Technology,Technology Hardware & Equipment,0.05,2630643,US64110D1046,15.15,8.1,85.55,20.24,15.9,1.75,26.51,"23,647",0.02,11/22/2024,1.78,1.78,1.87,1.96,2630643,NTAP.OQ,NetApp Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",23778719351.04,116.49,-0.40,-1.57,-1.35,-5.01,-5.29,-8.81,34.64,34.64,859957.77,126.88,21.40,15.17,22.66,17.53,0.04,0.00,0.13,32.81,1.79,4.93,15.14,7.68,"NetApp, Inc. is an intelligent data infrastructure company. The Company combines unified data storage, integrated data services, and CloudOps solutions to make data infrastructure intelligent. Its segments include Hybrid Cloud and Public Cloud. Its Hybrid Cloud segment offers a unified data storage portfolio of storage management and infrastructure solutions that help customers modernize their data centers. Its Hybrid Cloud portfolio supports structured and unstructured data with unified storage optimized for flash, disk, and cloud storage to handle data-intensive workloads and applications. Hybrid Cloud includes software, hardware, and related support, as well as professional and other services. Its Public Cloud segment offers a portfolio of products delivered primarily as-a-service, including related support. This portfolio includes cloud storage and CloudOps services. These services are available on the public clouds, including Amazon AWS, Microsoft Azure, and Google Cloud Platform."
"West Pharmaceutical Services, Inc.",WST,Health Care,Pharmaceuticals Biotechnology & Life Sciences,0.05,2950482,US9553061055,43.77,5.9,21.32,24.09,49.4,0.25,8.66,"23,839",0.04,10/24/2024,1.50,1.50,1.85,8.38,2950482,WST.N,West Pharmaceutical Services Inc,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,24132575133.78,328.82,-1.32,-1.38,-0.23,0.96,9.62,-0.05,-6.40,-6.40,160275.50,16.37,48.72,43.84,39.92,8.16,-0.01,0.00,1.62,37.86,0.26,1.60,43.96,7.50,"West Pharmaceutical Services, Inc. is a global manufacturer that is engaged in the design and production of technologically advanced, integrated containment and delivery systems for injectable drugs and healthcare products. The Company operates through two segments: Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers packaging, containment solutions, and drug delivery products, along with analytical lab services and other integrated services and solutions, primarily to biologic, generic and pharmaceutical drug customers. The Contract-Manufactured Products segment serves as a fully integrated business, focused on the design, manufacture, and automated assembly of complex devices, primarily for pharmaceutical, diagnostic, and medical device customers. This segment manufactures customer-owned components and devices used in surgical, diagnostic, ophthalmic, injectable, and other drug delivery systems, as well as consumer products."
Huntington Bancshares Incorporated,HBAN,Financials,Banks,0.05,2445966,US4461501045,12.03,4.4,11.17,22.13,13.6,3.80,1.30,"23,724",0.01,10/17/2024,0.30,0.30,0.33,3.11,2445966,HBAN.OQ,Huntington Bancshares Inc,Financials,Banks,Regional Banks,23797050600.96,16.33,-0.31,-1.15,0.31,-8.44,12.17,26.44,34.22,34.22,4374295.70,10.61,15.86,12.11,11.35,1.22,0.01,0.00,0.11,29.21,3.80,1.94,12.04,1.35,"Huntington Bancshares Incorporated is a diversified regional bank holding company. The Company, through its bank subsidiary, Huntington National Bank and its subsidiaries (the Bank), provides consumers, small and middle-market businesses, corporations, municipalities, and other organizations with a comprehensive suite of banking, payments, wealth management, and risk management products and services. Its Consumer & Regional Banking segment provides an array of financial products and services to consumer and business customers including, but not limited to, deposits, lending, payments, mortgage banking, dealer financing, investment management, trust, brokerage, insurance, and other financial products and services. Its Commercial Banking segment provides expertise through bankers, capabilities, and digital channels, which include a comprehensive set of product offerings. Its target clients span from mid-market to large corporates across a national footprint."
Halliburton Company,HAL,Energy,Energy,0.05,2405302,US4062161017,8.79,2.2,30.43,17.74,9.0,2.49,2.30,"23,671",0.01,11/07/2024,0.75,0.75,0.73,4.04,2405302,HAL.N,Halliburton Co,Energy,Energy,Oil & Gas Equipment & Services,23535068178.15,26.96,0.63,0.60,2.67,-14.91,-6.68,-19.28,-23.82,-23.82,2833961.17,25.79,9.41,8.71,12.83,1.94,-0.10,0.00,0.74,29.27,2.52,2.69,9.16,3.10,"Halliburton Company is a provider of products and services to the energy industry. The Company operates through two segments: Completion and Production and the Drilling and Evaluation. Completion and Production segment delivers cementing, stimulation, specialty chemicals, intervention, pressure control, artificial lift, and completion products and services. The segment consists of the product service lines, such as artificial lift, cementing, completion tools, multi-chem, pipeline and process services, production enhancement and production solutions. Its Drilling and Evaluation segment provides field and reservoir modeling, drilling, fluids, evaluation and precise wellbore placement solutions that enable customers to model, measure, drill, and optimize their well construction activities. Its product service lines include Baroid, drill bits and services, Halliburton project management, landmark software and services, Sperry drilling, testing and subsea and wireline and perforating."
"Corpay, Inc.",CPAY,Financials,Financial Services,0.05,BMX5GK7,US2199481068,15.27,14.5,33.72,45.03,17.8,--,7.62,"23,521",0.03,11/08/2024,4.98,4.98,5.00,1.22,BMX5GK7,CPAY.N,Corpay Inc,Financials,Financial Services,Transaction & Payment Processing Services,23787478387.86,337.57,-1.07,-2.23,-1.60,-11.44,7.93,26.71,19.45,19.45,147515.27,38.93,24.06,15.25,21.12,5.74,0.02,0.00,0.36,24.45,NULL,1.97,15.25,22.14,"Corpay, Inc., formerly FLEETCOR Technologies, Inc., is a corporate payments company. It helps businesses and consumers pay expenses. Its suite of payment solutions helps its customers manage vehicle-related expenses, such as fueling and parking; travel expenses, such as hotel bookings, and payables, such as paying vendors. Its solutions include AP Automation, Cross-Border and Commercial Cards. Its AP Automation solutions include procure-to-pay, payment automation and integrations. Its Procure-to-Pay optimizes accounts payable workflows with scheduled payments, automated approvals and real-time tracking, and enables cash flow management and financial decisions. Its trading platform and integrated payment solutions, which can be customized as per client’s business requirements. Its Multi-Card is a payment method that offers a tailored solution designed for the client’s business transactions. Its ExpenseTrack platform offers real-time automation, robust security and customized reporting."
"Warner Bros. Discovery, Inc. Series A",WBD,Communication Services,Media & Entertainment,0.05,BM8JYX3,US9344231041,--,32.5,-6.77,-1.48,-2.4,--,0.73,"25,771",0.05,11/07/2024,-0.11,-0.11,0.05,--,BM8JYX3,WBD.OQ,Warner Bros Discovery Inc,Communication Services,Media & Entertainment,Movies & Entertainment,26028081679.17,10.51,-0.94,-1.04,0.67,0.29,27.39,41.26,-7.64,-7.64,8642459.90,-13.77,NULL,-82.66,-6.25,0.72,-0.85,0.00,-1.46,55.34,NULL,3.86,-49.11,-0.13,"Warner Bros. Discovery, Inc. is a global media and entertainment company. The Company operates through three segments: Studios, Networks, and DTC. The Studios segment consists of the production and release of feature films for initial exhibition in theaters, production, and initial licensing of television programs to its networks/DTC services as well as third parties, distribution of its films and television programs to various third party and internal television and streaming services, distribution through the home entertainment market (physical and digital), related consumer products and themed experience licensing, and interactive gaming. The Networks segment primarily consists of its domestic and international television networks. The DTC segment primarily consists of its premium pay-TV and streaming services. The Company's brands and franchises include Warner Bros. Motion Picture Group, DC, HBO, HBO Max, discovery+, CNN, TLC, OWN, Warner Bros., and Discovery Channel, among others."
CDW Corporation,CDW,Information Technology,Technology Hardware & Equipment,0.05,BBM5MD6,US12514G1085,17.06,4.0,60.58,8.06,18.5,1.43,9.83,"23,090",0.04,10/30/2024,2.85,2.85,2.63,4.67,BBM5MD6,CDW.OQ,CDW Corp,Information Technology,Technology Hardware & Equipment,Technology Distributors,23429154740.22,173.35,-1.40,-2.13,-1.26,-1.47,-23.13,-22.08,-22.87,-22.87,553501.87,60.48,21.18,17.06,17.72,7.96,-0.05,0.00,0.62,30.19,1.44,1.99,17.01,10.16,"CDW Corporation is a multi-brand provider of information technology (IT) solutions to small, medium and large business, government, education and healthcare customers in the United States, the United Kingdom and Canada. The Company’s array of offerings ranges from discrete hardware and software products to integrated IT solutions and services that include on-premises and cloud capabilities across hybrid infrastructure, digital experience and security. The Company operates through three segments: Corporate, Small Business and Public. The Corporate segment primarily serves United States private sector business customers. The Small Business segment primarily serves United States private sector business customers. The Public segment comprises government agencies and education and healthcare institutions in the United States. The Company’s solutions are delivered in physical, virtual and cloud-based environments. It provides integrated IT solutions in more than 150 countries."
